index	Name	Description	Type	ImageFile	Range_Width	Range_height	Input1_Left	Input1_Top	Input1_Right	Input1_Bottom	FX1	Text	Array	Margine	Vmargine	StatusType1	StatusValue1	StatusType2	StatusValue2	StatusType3	StatusValue3	StatusType4	StatusValue4	EffectID1	EffectDescription1	EffectID2	EffectDescription2	EffectID3	EffectDescription3	EffectID4	EffectDescription4	Red	Green	Blue
1	不使用稱號	不使用稱號。	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
101	不是新手的冒險家	不是菜鳥的冒險家。…只有這種程度真是可憐。	1		145	16	0	0	0	0	0	1	5	2	1	30	5	0	0	0	0	0	0	0		0		0		0		255	255	183
102	冒險家	現在是偉大的一人冒險家! 朝著冒險 Go!	1		145	16	0	0	0	0	0	1	5	2	1	30	5	34	5	0	0	0	0	0		0		0		0		255	255	183
201	大王真弱	給抓住大王醜八怪的冒險家的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	14	4	0	0	0	0	0	0	0		0		0		0		255	255	183
210	大王殺手	給抓住大王醜八怪的冒險家(攻擊型)的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	14	7	90	2	22	-3	0	0	0		0		0		0		255	255	183
202	蝙蝠獵人	給稱霸貝羅斯地下城的獵人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	156	16	0	0	0	0	0	0	0		0		0		0		255	255	183
301	連魔王也抓住了	給抓住艾利亞斯地下城的醜八怪大王的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	14	3	18	3	0	0	0	0	0		0		0		0		255	255	183
310	爽快的法師	給抓住艾利亞斯地下城的醜八怪大王的人(魔法型)的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	22	8	35	2	14	-4	0	0	0		0		0		0		255	255	183
303	心地善良的人	在艾利亞斯稱呼愉快幫助他人的冒險家的名稱。	1		145	16	0	0	0	0	0	1	5	2	1	128	30	0	0	0	0	0	0	0		0		0		0		255	255	183
401	義俠	很有義氣的俠士。 受到龍京市民的尊敬。	1		145	16	0	0	0	0	0	1	5	2	1	26	6	0	0	0	0	0	0	0		0		0		0		255	255	183
410	鐵壁虎王	稱呼替龍京市民獵殺白虎和黑虎的英雄(防禦型)的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	26	8	31	5	18	-2	0	0	0		0		0		0		255	255	183
403	初戰搏殺	給輕易就成功獵殺老虎BOSS的人的帥氣稱號。	1		145	16	0	0	0	0	0	1	5	2	1	66	2	62	2	0	0	0	0	0		0		0		0		255	255	183
501	達人	再也不害怕黑月城忍者的境地。	1		145	16	0	0	0	0	0	1	5	2	1	14	2	26	2	22	2	18	2	0		0		0		0		255	255	183
510	忍者大師	超越黑月城忍者們的冒險家(探索型)。	1		145	16	0	0	0	0	0	1	5	2	1	18	10	106	3	26	-5	0	0	0		0		0		0		255	255	183
502	鬼武士算什麼	給打倒黑月城鬼武士的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	31	4	35	4	0	0	0	0	0		0		0		0		255	255	183
503	時尚領導人	奧亦奇的時尚領導人! Yeah!	1		145	16	0	0	0	0	0	1	5	2	1	18	3	22	3	0	0	0	0	0		0		0		0		255	255	183
19	連特沃夫都自嘆不如的人	不管是礦山的哪裡,都沒有我不知道的地方。	1		145	16	0	0	0	0	0	1	5	2	1	18	3	22	3	0	0	0	0	0		0		0		0		255	255	183
21	鐵鍬達人	講到鐵鍬非我莫屬。	1		145	16	0	0	0	0	0	1	5	2	1	18	3	22	3	0	0	0	0	0		0		0		0		255	255	183
22	大王殺手	把名字裡面有王的通通都打倒。	1		145	16	0	0	0	0	0	1	5	2	1	18	3	22	3	0	0	0	0	0		0		0		0		255	255	183
810	(男)，抒情王子	歌唱大賽活動	1		145	16	0	0	0	0	0	1	5	2	1	55	30	0	0	0	0	0	0	0		0		0		0		255	255	183
811	(女)，人氣公主	歌唱大賽活動	1		145	16	0	0	0	0	0	1	5	2	1	55	30	0	0	0	0	0	0	0		0		0		0		255	255	183
812	剪刀石頭布大王	猜拳活動	1		145	16	0	0	0	0	0	1	5	2	1	128	20	0	0	0	0	0	0	0		0		0		0		255	255	183
813	彩虹島智多星	彩虹島智多星活動	1		145	16	0	0	0	0	0	1	5	2	1	31	5	0	0	0	0	0	0	0		0		0		0		255	255	183
814	彩虹島幸運星	彩虹島智多星活動	1		145	16	0	0	0	0	0	1	5	2	1	19	5	0	0	0	0	0	0	0		0		0		0		255	255	183
815	牛郎星	7.7七夕活動	1		145	16	0	0	0	0	0	1	5	2	1	59	30	0	0	0	0	0	0	0		0		0		0		255	255	183
816	織女星	7.7七夕活動	1		145	16	0	0	0	0	0	1	5	2	1	59	30	0	0	0	0	0	0	0		0		0		0		255	255	183
608	收集大師		1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
904	製作大師	在製作的國度裡擁有最強實力的匠人。	1		145	16	0	0	0	0	0	1	5	2	1	384	2	0	0	0	0	0	0	0		0		0		0		255	255	183
905	金女士玩彩虹島~	為了讓金女士玩彩虹島的稱號~	1		145	16	0	0	0	0	0	1	5	2	1	164	2	158	2	106	5	0	0	0		0		0		0		255	255	183
906	我最厲害~!	瞧你們一副沒出息的樣子!果然還是我最棒了!!! 呼~	1		145	16	0	0	0	0	0	1	5	2	1	156	20	162	20	106	10	0	0	0		0		0		0		255	255	183
601	不屈服的冒險家	就算一再倒下也會一直站起來!不屈服的意志力爆發!(防禦力上升)	1		145	16	0	0	0	0	0	1	5	2	1	217	5	0	0	0	0	0	0	0		0		0		0		255	255	183
18	超級瑪琍大師	你真的是人類嗎?!	1		145	16	0	0	0	0	0	1	5	2	1	14	10	26	10	22	10	18	10	0		0		0		0		254	68	31
701	流浪者	這無止盡的冒險路途何時會結束呢…。(移動速度向上)	1		145	16	0	0	0	0	0	1	5	2	1	106	10	0	0	0	0	0	0	0		0		0		0		255	255	183
800	愛的訊息	情人節快樂呀~	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
602	貝希摩斯冒險家	從巨大的怪物貝希摩斯的肚子活著回來的冒險家。	1		145	16	0	0	0	0	0	1	5	2	1	192	10	196	10	0	0	0	0	0		0		0		0		255	255	183
603	妖怪擊退者	解決帶給人們麻煩的怪物!	1		145	16	0	0	0	0	0	1	5	2	1	55	15	59	15	0	0	0	0	0		0		0		0		255	255	183
604	跳躍高手	Jump, Jump!	1		145	16	0	0	0	0	0	1	5	2	1	152	10	0	0	0	0	0	0	0		0		0		0		255	255	183
605	繩索舞者	以熟練的攀爬繩索技術綻放光芒。	1		145	16	0	0	0	0	0	1	5	2	1	114	50	118	50	106	5	0	0	0		0		0		0		255	255	183
606	強壯的冒險家	鐵壁防禦!	1		145	16	0	0	0	0	0	1	5	2	1	217	7	0	0	0	0	0	0	0		0		0		0		255	255	183
607	高級玩家	熟練多種技能的冒險家。	1		145	16	0	0	0	0	0	1	5	2	1	94	3	102	3	106	3	0	0	0		0		0		0		255	255	183
609	爬到頂端~勝利者~	爬呀爬大樹的霸主。	1		145	16	0	0	0	0	0	1	5	2	1	30	150	34	75	0	0	0	0	0		0		0		0		255	255	183
610	夜晚貓頭鷹	調查完貓頭鷹之城人們不可告人的陰謀。	1		145	16	0	0	0	0	0	1	5	2	1	106	13	0	0	0	0	0	0	0		0		0		0		255	255	183
611	荒野冒險家	給經歷彭哥列列車冒險的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	94	5	184	-5	0	0	0	0	0		0		0		0		255	255	183
733	新手街舞戰士	現在剛加入的街舞戰士隊員。	1		145	16	0	0	0	0	0	1	5	2	1	14	1	26	1	22	1	18	1	0		0		0		0		255	255	183
612	猜題天王	天啊~ 竟然可以獲得這個稱號!! \n您真的是猜題的天王呀>?<!!	1		145	16	0	0	0	0	0	1	5	2	1	176	3	180	3	184	3	188	3	0		0		0		0		63	191	255
613	猜題天后	天啊~ 竟然可以獲得這個稱號!! \n您真的是猜題的天后呀>?<!!	1		145	16	0	0	0	0	0	1	5	2	1	176	3	180	3	184	3	188	3	0		0		0		0		63	191	255
103	戰勝冬天的支配者	賦予戰勝冬天的支配者的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	106	30	118	50	258	40	0	0	0		0		0		0		0	255	255
614	德尼歐的弟子	正在修行的德尼歐弟子的名稱。	1		145	16	0	0	0	0	0	1	5	2	1	411	10	0	0	0	0	0	0	0		0		0		0		0	0	0
2401	涼拌小章魚	涼拌小章魚很美味呢。您要不要也嚐一口?	1		145	16	0	0	0	0	0	1	5	2	1	30	400	94	5	102	5	0	0	14010001	小章魚繩索: [隊伍]增加自己和隊員的'HP' 400 	0		0		0		0	0	255
2402	辣炒小章魚	小章魚還是用炒的最好吃啦! 這是為了喜愛小章魚的您設立的稱號!	1		145	16	0	0	0	0	0	1	5	2	1	30	400	162	10	156	10	0	0	14010001	小章魚繩索: [隊伍]增加自己和隊員的'HP' 400 	0		0		0		0	0	255
2501	暴風監視者新手	賦予新加入暴風監視者的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	94	10	102	10	30	500	0	0	14010003	效果 : 被攻擊時,以一定的機率增加物理與魔法最大傷害10%(2分)	14010005		0		0		255	255	183
2601	無限迴廊入門者	這是賦予剛入門學習無限迴廊的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	156	15	162	15	30	500	0	0	14010007	效果 : 被攻擊時,以一定的機率增加物理與魔法爆擊率2%(2分)	14010009		0		0		255	255	183
2701	圖書館愛好者	給貝爾法圖書館愛好者們的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	176	8	180	8	30	500	0	0	14010011	效果 : 被攻擊時,以一定的機率增加物理與魔法爆擊率5%(1分)	14010013		0		0		255	255	183
2801	銀色腳趾	賦予歷史屬於銀色腳趾的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	184	8	188	8	30	500	0	0	14010015	效果 : 在被攻擊時以一定的機率增加3%防禦力 (5分)	0		0		0		255	255	183
901	衝鋒陷陣大王	塞翁失馬焉知非福~?	1		145	16	0	0	0	0	0	1	5	2	1	158	3	164	3	176	3	180	3	0		0		0		0		255	255	183
902	衝鋒陷陣之神	1/10000的幸運兒。	1		145	16	0	0	0	0	0	1	5	2	1	158	4	164	4	176	4	180	4	15003001	物理爆擊效果: 爆擊傷害增加 15% 	15003021	魔法爆擊效果: 魔法爆擊增加15% 	0		0		180	50	220
903	鑲嵌工匠	魔法, 這不算什麼。	1		145	16	0	0	0	0	0	1	5	2	1	369	2	0	0	0	0	0	0	0		0		0		0		255	255	183
907	只是運氣好學到的	突破1/1000的機率而獲得此稱號的您，是真正的幸運兒啊! 嗚哈哈!	1		145	16	0	0	0	0	0	1	5	2	1	158	3	164	3	94	3	102	3	0		0		0		0		255	255	183
908	我就愛衝鋒陷陣	這是專為你這種衝鋒陷陣的人創造出的稱號喔! (1/10000機率)	1		145	16	0	0	0	0	0	1	5	2	1	158	4	164	4	94	6	102	6	0		0		0		0		180	50	220
909	衝鋒陷陣高手	賦予為了得到好的稱號而戰勝無數挑戰的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	158	3	164	3	128	10	0	0	0		0		0		0		255	255	183
910	衝鋒陷陣達人	賦予為了得到好的稱號，而戰勝無數挑戰與逆境的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	158	4	164	4	128	20	0	0	0		0		0		0		180	50	220
911	衝鋒陷陣的祝福	給衝鋒陷陣的你的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	158	4	176	4	128	20	0	0	15003001	物理爆擊效果: 魔法爆擊增加15% 	0		0		0		180	50	220
912	衝鋒陷陣的祝福	給衝鋒陷陣的你的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	164	4	180	4	128	20	0	0	15003021	魔法爆擊效果: 魔法爆擊增加15% 	0		0		0		180	50	220
913	夏日彩虹島	和彩虹島一起愉快地飛越夏日的炎熱吧 	1		145	16	0	0	0	0	0	1	5	2	1	158	5	164	5	176	5	180	5	0		0		0		0		37	221	233
999	[GM]	我是GM~	1		145	16	0	0	0	0	0	1	5	2	1	106	20	217	100	0	0	0	0	0		0		0		0		255	255	183
702	冬之強者	聖誕節活動稱號	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
703	戰勝寒冷吧	聖誕節活動稱號	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
704	手腳冰冷	聖誕節活動稱號	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
705	世界第一等	100分的人生! 我很棒吧!!	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
706	老二哲學	不是100分也不是鴨蛋!!	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
707	零鴨蛋	得到零分我好受傷 T.T	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
801	丘比特的傳令	白色情人節快樂~ 	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
708	百戰百勝	給予在福不福運動會中獲勝隊伍的榮譽稱號!! 	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
709	寶石遠征隊	出發! 寶石遠征隊~~	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
710	寶石的傳令	這是為幫忙的人準備的稱號~	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
711	菌絲破壞者	所有蘑菇們的支配者。	1		145	16	0	0	0	0	0	1	5	2	1	106	7	192	5	0	0	0	0	0		0		0		0		255	255	183
712	???????		1		145	16	0	0	0	0	0	1	5	2	1	106	10	23	3	0	0	0	0	0		0		0		0		255	255	183
713	鴉天狗		1		145	16	0	0	0	0	0	1	5	2	1	106	12	118	10	0	0	0	0	0		0		0		0		255	255	183
714	守護聖誕老人	聖誕節活動紀念稱號	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
715	我來守護聖誕老人	聖誕節活動紀念稱號	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
716	慈善家	我就是~ 捐贈之王! 最棒的彩虹島慈善家!	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
717	年糕湯之王	你們懂年糕湯的味道嗎!!賦予懂得真正了解年糕湯味道的人的稱號 	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
718	謝絕作業	最受學生族群喜愛的稱號	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
719	戀愛博士	情人節活動稱號	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
720	你最珍貴	情人節互訴愛戀，將最珍貴的他永存心底。	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
721	花樣阿公	情人節活動稱號	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
722	時空旅行者	給時空旅行者的帥氣稱號。	1		145	16	0	0	0	0	0	1	5	2	1	18	10	106	3	184	1	188	1	0		0		0		0		255	255	183
723	春天馬戲團團員	奉春植活動稱號	1		145	16	0	0	0	0	0	1	5	2	1	106	8	118	60	114	60	0	0	0		0		0		0		255	255	183
724	接受介紹大師	給被介紹來玩彩虹島的玩家稱號。	1		145	16	0	0	0	0	0	1	5	2	1	140	15	240	15	106	10	0	0	0		0		0		0		255	255	183
725	介紹大師	給介紹朋友來玩彩虹島的玩家稱號。	1		145	16	0	0	0	0	0	1	5	2	1	140	15	240	15	106	10	0	0	0		0		0		0		255	255	183
726	友善	和超過3位朋友一起玩彩虹島的人。	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
727	Game Sage	You can take Game Sage Title by This Guide Book.	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
728	真 · 菌絲破壞者	所有蘑菇真正的支配者。	1		145	16	0	0	0	0	0	1	5	2	1	106	10	192	7	196	7	0	0	0		0		0		0		255	255	183
729	超音速菌絲	以音速奔跑的菌絲。	1		145	16	0	0	0	0	0	1	5	2	1	114	10	118	10	0	0	0	0	0		0		0		0		255	255	183
730	萬聖節活動參加者	給予參加萬聖節活動者的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	15003861	幽靈效果: 被攻擊時以一定機率增加移動速度20% 	0		0		0		255	255	183
731	我心胸寬大	為了心胸寬大的人而準備的活動稱號。	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
732	傾城美女	彩虹島美女選拔賽優勝者的證明。	1		145	16	0	0	0	0	0	1	5	2	1	30	200	34	200	0	0	0	0	0		0		0		0		255	255	183
734	預言家		1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	0	0
735	預言家		1		145	16	0	0	0	0	0	1	5	2	1	176	3	180	3	158	3	164	3	0		0		0		0		255	0	0
736	檀君的後裔	賦予檀君後裔們的稱號	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
737	巨集管束隊		1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	0	0
738	感謝幫助愛麗絲聖誕老人	給幫助愛麗絲聖誕老人的人。	1		180	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	15003601		0		0		0		255	255	183
739	揭發GM許堂28號的秘密	雖然揭發出GM許堂28號的秘密，\n但是不知到哪個部份才是X-檔案。	1		180	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
740	揭發GM布吉的秘密	雖然揭發出GM布吉的秘密，\n但是不知到哪個部份才是X-檔案。	1		180	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
741	揭發GM餅乾的秘密	雖然揭發出GM餅乾的秘密，\n但是不知到哪個部份才是X-檔案。	1		180	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
742	揭發GM戴音3世的秘密	雖然揭發出GM戴音3世的秘密，\n但是不知到哪個部份才是X-檔案。	1		180	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
743	消防員	身為偉大消防員的你的綽號。	1		145	16	0	0	0	0	0	1	5	2	1	78	100	0	0	0	0	0	0	0		0		0		0		255	255	183
914	初級兔子	剛要開始旅行的兔子。	1		145	16	0	0	0	0	0	1	5	2	1	158	1	164	1	156	2	162	2	0		0		0		0		255	255	183
915	中級兔子	現在已經熟練旅行的兔子。	1		145	16	0	0	0	0	0	1	5	2	1	158	2	164	2	156	4	162	4	0		0		0		0		255	255	183
916	高級兔子	現在對旅行感到很有趣的兔子。	1		145	16	0	0	0	0	0	1	5	2	1	158	3	164	3	156	6	162	6	0		0		0		0		180	50	220
917	超高級兔子	現在對旅行感到厭倦的兔子。	1		145	16	0	0	0	0	0	1	5	2	1	158	4	164	4	156	8	162	8	0		0		0		0		180	50	220
744	軍畢者	給服完兵役的人的稱號。	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		255	255	183
918	頂級兔子	對其他兔子而言非常高高在上的兔子。	1		145	16	0	0	0	0	0	1	5	2	1	158	4	156	10	30	400	34	400	0		0		0		0		180	50	220
919	頂級兔子	對其他兔子而言非常高高在上的兔子。	1		145	16	0	0	0	0	0	1	5	2	1	164	4	162	10	30	400	34	400	0		0		0		0		180	50	220
745	種吧種吧! 樹木終結者	我就是~ 種樹的終結者!	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		180	50	220
746	種吧種吧! 樹木之王	我就是~ 種樹的王! 	1		145	16	0	0	0	0	0	1	5	2	1	0	0	0	0	0	0	0	0	0		0		0		0		180	50	220
747	我是潛力股	[我是 OOO 稱號系列]\n 第1名並非難事!	1		145	16	0	0	0	0	0	1	5	2	1	124	5	462	10	0	0	0	0	15003871	效果: 物理/魔法 攻擊成功時以一定機率增加50%經驗值buff	15003907		0		0		255	255	183
748	我是大隻佬	[我是 OOO 稱號系列]\n 防禦就交給我吧!	1		145	16	0	0	0	0	0	1	5	2	1	30	100	217	3	0	0	0	0	0		0		0		0		255	255	183
